config_id,dico_layers,before,acc,mc_mean_probs,variance_predicted,variance_max,predictive_entropy_predicted,predictive_entropy_max,penalties
10,{'conv1': 0.6},True,0.48989999294281006,0.09999999403953552,0.10552114248275757,0.030405394732952118,0.5149415731430054,0.6289846301078796,"{'variance_predicted': {'penalty_isotone': np.float64(0.02465225487842408), 'penalty_rearrangement': np.float64(0.13684808889436642)}, 'variance_max': {'penalty_isotone': np.float64(0.026594270323698505), 'penalty_rearrangement': np.float64(0.09875389060598956)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.017789618352140567), 'penalty_rearrangement': np.float64(0.13827645397124727)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.06261227426059403), 'penalty_rearrangement': np.float64(0.09487982832789628)}}"
11,{'conv1': 0.6},False,0.50409996509552,0.09999999403953552,0.09140016883611679,0.03919601812958717,0.46232420206069946,0.6141010522842407,"{'variance_predicted': {'penalty_isotone': np.float64(0.00555843297306709), 'penalty_rearrangement': np.float64(0.005267248192195777)}, 'variance_max': {'penalty_isotone': np.float64(0.0012783831624592636), 'penalty_rearrangement': np.float64(0.0016523993760890465)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.005820469956936718), 'penalty_rearrangement': np.float64(0.005465567707384881)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.06259578745194153), 'penalty_rearrangement': np.float64(0.1476192496736435)}}"
12,{'conv1': 0.7},True,0.3626999855041504,0.09999999403953552,0.11103997379541397,0.02821473591029644,0.5298044085502625,0.6246349811553955,"{'variance_predicted': {'penalty_isotone': np.float64(0.027739088399880905), 'penalty_rearrangement': np.float64(0.07391339947143541)}, 'variance_max': {'penalty_isotone': np.float64(0.031432027452085884), 'penalty_rearrangement': np.float64(0.09784878232639874)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.019062536212287585), 'penalty_rearrangement': np.float64(0.04365695182431914)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.06986148449412703), 'penalty_rearrangement': np.float64(0.18164372347869812)}}"
13,{'conv1': 0.7},False,0.38589999079704285,0.09999999403953552,0.09279312938451767,0.03910622000694275,0.4478840231895447,0.6017057299613953,"{'variance_predicted': {'penalty_isotone': np.float64(0.0038433405480333507), 'penalty_rearrangement': np.float64(0.004822883889168447)}, 'variance_max': {'penalty_isotone': np.float64(0.00184670732717133), 'penalty_rearrangement': np.float64(0.0021290400756674697)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.003612884251426146), 'penalty_rearrangement': np.float64(0.004640265803643393)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.03501171354554192), 'penalty_rearrangement': np.float64(0.05026855238773786)}}"
14,{'conv1': 0.8},True,0.20499999821186066,0.09999999403953552,0.11036776751279831,0.026295550167560577,0.5672775506973267,0.6460618376731873,"{'variance_predicted': {'penalty_isotone': np.float64(0.009811479883232742), 'penalty_rearrangement': np.float64(0.1365972278019855)}, 'variance_max': {'penalty_isotone': np.float64(0.021207153762165143), 'penalty_rearrangement': np.float64(0.08663366379848098)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.013039072487094613), 'penalty_rearrangement': np.float64(0.034202676518139394)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.03635932632005376), 'penalty_rearrangement': np.float64(0.058592958651205104)}}"
15,{'conv1': 0.8},False,0.2689000070095062,0.09999999403953552,0.0951705053448677,0.04138060286641121,0.43832477927207947,0.597398042678833,"{'variance_predicted': {'penalty_isotone': np.float64(0.0037988972434898176), 'penalty_rearrangement': np.float64(0.005651731504987749)}, 'variance_max': {'penalty_isotone': np.float64(0.0072904526039584755), 'penalty_rearrangement': np.float64(0.02294939370627916)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.0033308190257105596), 'penalty_rearrangement': np.float64(0.003369533263167738)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.03183763108150035), 'penalty_rearrangement': np.float64(0.06997836904619835)}}"
16,{'conv1': 0.9},True,0.1014999970793724,0.09999999403953552,0.08298393338918686,0.02171327918767929,0.612788736820221,0.6886466145515442,"{'variance_predicted': {'penalty_isotone': np.float64(0.004697109825312698), 'penalty_rearrangement': np.float64(0.06920753368668832)}, 'variance_max': {'penalty_isotone': np.float64(0.001630454662043901), 'penalty_rearrangement': np.float64(0.0031010305404471175)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.010082371051920516), 'penalty_rearrangement': np.float64(0.03596983491505627)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.0029202830491998713), 'penalty_rearrangement': np.float64(0.00880495843960244)}}"
17,{'conv1': 0.9},False,0.19200000166893005,0.09999999403953552,0.08955691009759903,0.061287395656108856,0.4372791349887848,0.5927523970603943,"{'variance_predicted': {'penalty_isotone': np.float64(0.002334124951713914), 'penalty_rearrangement': np.float64(0.004960081423929797)}, 'variance_max': {'penalty_isotone': np.float64(0.003151878265306278), 'penalty_rearrangement': np.float64(0.034670123521354776)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.0021113839881456457), 'penalty_rearrangement': np.float64(0.0030255127902527133)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.02078485614918834), 'penalty_rearrangement': np.float64(0.06728395279666685)}}"
18,{'conv2': 0.1},True,0.729200005531311,0.09999999403953552,0.052708640694618225,0.02337643876671791,0.4907919764518738,0.5363838076591492,"{'variance_predicted': {'penalty_isotone': np.float64(0.0005036787007211061), 'penalty_rearrangement': np.float64(0.0006737234386935691)}, 'variance_max': {'penalty_isotone': np.float64(0.00036780014941456356), 'penalty_rearrangement': np.float64(0.0004127905892730291)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.0004181281778669874), 'penalty_rearrangement': np.float64(0.0013411261657022859)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(2.924401664275686e-05), 'penalty_rearrangement': np.float64(4.047024749094982e-05)}}"
19,{'conv2': 0.1},False,0.7272999882698059,0.09999999403953552,0.0322347916662693,0.0172574520111084,0.4525943100452423,0.476767361164093,"{'variance_predicted': {'penalty_isotone': np.float64(7.186494556242303e-05), 'penalty_rearrangement': np.float64(8.24798164302226e-05)}, 'variance_max': {'penalty_isotone': np.float64(0.00010373148374375745), 'penalty_rearrangement': np.float64(0.0002261345806888412)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(5.322640522462428e-05), 'penalty_rearrangement': np.float64(0.000174054328802129)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.00012367516869084678), 'penalty_rearrangement': np.float64(0.00048698151238763595)}}"
